MEMBER_NO,DATE,BRANCH_CODE,BRANCH_TYPE,AMOUNT,CURRENCY,TRAN_CODE,TRAN_DESC
9946910374,2020-06-19,MOB,MOBILE,7420.50,PHP,IN1004,TYPE4
5218880921,2020-08-05,921,STORE,7916.00,PHP,IN1005,TYPE5
1231130840,2020-07-13,652,STORE,391.00,PHP,IN1005,TYPE5
6417181135,2020-09-29,MOB,MOBILE,3742.50,PHP,IN1001,TYPE1
4457034841,2020-01-12,356,STORE,2195.25,PHP,IN1003,TYPE3
4161099774,2020-01-02,760,STORE,7822.75,PHP,IN1005,TYPE5
2797877520,2020-09-19,MOB,MOBILE,3915.00,PHP,IN1005,TYPE5
2690183236,2020-02-01,MOB,MOBILE,1177.25,PHP,IN1005,TYPE5
9213400351,2020-01-17,MOB,MOBILE,1407.75,PHP,IN1003,TYPE3
7118793488,2020-08-25,111,STORE,5641.00,PHP,IN1005,TYPE5
5385825171,2020-04-14,MOB,MOBILE,6255.50,PHP,IN1002,TYPE2
4114118930,2020-04-09,809,STORE,3506.75,PHP,IN1002,TYPE2
3494985156,2020-08-30,986,STORE,1504.00,PHP,IN1005,TYPE5
5368151888,2020-07-10,MOB,MOBILE,7820.50,PHP,IN1002,TYPE2
5737997553,2020-11-03,MOB,MOBILE,2311.25,PHP,IN1003,TYPE3
6430175244,2020-11-11,817,STORE,669.25,PHP,IN1002,TYPE2
0448812065,2020-02-19,MOB,MOBILE,5694.25,PHP,IN1003,TYPE3
5844507028,2020-08-26,952,STORE,7814.75,PHP,IN1003,TYPE3
8124118770,2020-12-22,MOB,MOBILE,2304.50,PHP,IN1003,TYPE3
6748268100,2020-05-21,MOB,MOBILE,8069.75,PHP,IN1004,TYPE4
8566110014,2020-05-01,807,STORE,3228.75,PHP,IN1005,TYPE5
0555951155,2020-08-14,760,STORE,1649.25,PHP,IN1005,TYPE5
3527159635,2020-11-09,MOB,MOBILE,5781.25,PHP,IN1004,TYPE4
1465989981,2020-12-25,MOB,MOBILE,3510.00,PHP,IN1002,TYPE2
3352632726,2020-03-22,026,STORE,5064.00,PHP,IN1001,TYPE1
3075308085,2020-03-06,304,STORE,4948.50,PHP,IN1004,TYPE4
1333480912,2020-06-13,MOB,MOBILE,5291.50,PHP,IN1005,TYPE5
8034239147,2020-11-16,793,STORE,7032.75,PHP,IN1003,TYPE3
9690950873,2020-03-04,756,STORE,8562.25,PHP,IN1005,TYPE5
9888866209,2020-10-11,222,STORE,3886.25,PHP,IN1002,TYPE2
8761132438,2020-04-06,099,STORE,3199.75,PHP,IN1003,TYPE3
8691096732,2020-03-12,MOB,MOBILE,5249.00,PHP,IN1005,TYPE5
9865638531,2020-04-08,MOB,MOBILE,9278.75,PHP,IN1001,TYPE1
6834387611,2020-03-18,MOB,MOBILE,9796.25,PHP,IN1003,TYPE3
6290555644,2020-08-17,420,STORE,9848.25,PHP,IN1005,TYPE5
5177223322,2020-11-22,837,STORE,2194.00,PHP,IN1001,TYPE1
5340323650,2020-08-17,MOB,MOBILE,5003.00,PHP,IN1003,TYPE3
5213271007,2020-08-20,MOB,MOBILE,9193.00,PHP,IN1001,TYPE1
0470125339,2020-09-10,877,STORE,8178.75,PHP,IN1001,TYPE1
9657845934,2020-08-22,MOB,MOBILE,3131.50,PHP,IN1003,TYPE3
4761181055,2020-03-17,MOB,MOBILE,2135.75,PHP,IN1001,TYPE1
1072417884,2020-09-29,MOB,MOBILE,4112.00,PHP,IN1002,TYPE2
8094456893,2020-10-10,MOB,MOBILE,8377.25,PHP,IN1002,TYPE2
3469504881,2020-10-29,632,STORE,4988.00,PHP,IN1002,TYPE2
2821613210,2020-08-05,MOB,MOBILE,1426.50,PHP,IN1004,TYPE4
1298984299,2020-09-30,563,STORE,5246.25,PHP,IN1003,TYPE3
2911114766,2020-02-05,MOB,MOBILE,8442.50,PHP,IN1001,TYPE1
0472371562,2020-08-02,MOB,MOBILE,4381.00,PHP,IN1001,TYPE1
5844951829,2020-10-05,MOB,MOBILE,1322.00,PHP,IN1002,TYPE2
8734172837,2020-12-10,MOB,MOBILE,2805.25,PHP,IN1004,TYPE4
8620805898,2020-03-19,830,STORE,3497.50,PHP,IN1001,TYPE1
8822803267,2020-05-07,078,STORE,5245.25,PHP,IN1003,TYPE3
9413149869,2020-05-07,MOB,MOBILE,1697.75,PHP,IN1004,TYPE4
6981214875,2020-10-13,995,STORE,5568.00,PHP,IN1001,TYPE1
6439540254,2020-05-14,788,STORE,1301.75,PHP,IN1004,TYPE4
7517874558,2020-05-19,299,STORE,7394.75,PHP,IN1005,TYPE5
2440318909,2020-12-16,MOB,MOBILE,7097.25,PHP,IN1004,TYPE4
2659116647,2020-09-10,MOB,MOBILE,7243.75,PHP,IN1005,TYPE5
8328882649,2020-08-14,MOB,MOBILE,1986.25,PHP,IN1002,TYPE2
3596426570,2020-02-03,465,STORE,2471.75,PHP,IN1003,TYPE3
9654093720,2020-11-02,896,STORE,8040.50,PHP,IN1001,TYPE1
6868549314,2020-02-07,644,STORE,1049.00,PHP,IN1002,TYPE2
4108410010,2020-07-10,MOB,MOBILE,2042.50,PHP,IN1004,TYPE4
4150900871,2020-10-29,256,STORE,101.25,PHP,IN1002,TYPE2
1390867815,2020-09-12,191,STORE,1930.75,PHP,IN1003,TYPE3
7222185699,2020-07-31,MOB,MOBILE,1150.25,PHP,IN1005,TYPE5
2401731408,2020-03-05,164,STORE,2477.25,PHP,IN1001,TYPE1
0064666128,2020-02-28,032,STORE,7495.50,PHP,IN1002,TYPE2
8346641673,2020-12-12,MOB,MOBILE,8321.00,PHP,IN1002,TYPE2
0398969189,2020-05-12,MOB,MOBILE,205.00,PHP,IN1003,TYPE3
3164896415,2020-06-11,915,STORE,1776.25,PHP,IN1005,TYPE5
8931044271,2020-01-06,MOB,MOBILE,4553.75,PHP,IN1002,TYPE2
5397767477,2020-11-16,320,STORE,9661.50,PHP,IN1002,TYPE2
8861120883,2020-06-30,312,STORE,4778.00,PHP,IN1001,TYPE1
8075827529,2020-04-20,MOB,MOBILE,6841.75,PHP,IN1001,TYPE1
2556699311,2020-03-20,507,STORE,3420.25,PHP,IN1004,TYPE4
7788619276,2020-11-25,MOB,MOBILE,9573.00,PHP,IN1005,TYPE5
7359295627,2020-05-09,457,STORE,8490.25,PHP,IN1005,TYPE5
0135374386,2020-03-09,MOB,MOBILE,6612.75,PHP,IN1005,TYPE5
7000737249,2020-08-30,MOB,MOBILE,1446.50,PHP,IN1005,TYPE5
0325326277,2020-11-29,048,STORE,1175.50,PHP,IN1001,TYPE1
2424347281,2020-01-09,203,STORE,7485.75,PHP,IN1001,TYPE1
7705924399,2020-09-11,MOB,MOBILE,786.00,PHP,IN1005,TYPE5
7890489355,2020-03-29,MOB,MOBILE,3163.25,PHP,IN1003,TYPE3
8364662177,2020-03-25,MOB,MOBILE,226.75,PHP,IN1001,TYPE1
3919143390,2020-08-26,655,STORE,7820.25,PHP,IN1004,TYPE4
7636925711,2020-04-20,159,STORE,8258.50,PHP,IN1002,TYPE2
7482499244,2020-07-20,036,STORE,7758.00,PHP,IN1002,TYPE2
3062808985,2020-04-21,732,STORE,3549.25,PHP,IN1003,TYPE3
2756215530,2020-07-12,124,STORE,8834.00,PHP,IN1004,TYPE4
8033589865,2020-04-11,924,STORE,4743.25,PHP,IN1004,TYPE4
7151770715,2020-04-02,MOB,MOBILE,1228.50,PHP,IN1004,TYPE4
2663378460,2020-11-14,741,STORE,4091.00,PHP,IN1003,TYPE3
0365134915,2020-10-25,357,STORE,8717.25,PHP,IN1005,TYPE5
6502517398,2020-11-25,MOB,MOBILE,8886.25,PHP,IN1004,TYPE4
7519185601,2020-09-25,MOB,MOBILE,2634.50,PHP,IN1001,TYPE1
3873057680,2020-10-20,MOB,MOBILE,9448.50,PHP,IN1003,TYPE3
8531302716,2020-12-06,MOB,MOBILE,812.25,PHP,IN1005,TYPE5
8728103502,2020-09-26,968,STORE,4395.50,PHP,IN1005,TYPE5
